Direct Carving,37
Tyne and Wear,37
hare,43
Ireland,51
son,37
rigging,37
illness,36
"Cervantes, 'Don Quixote de la Mancha'",36
"St Goar, Burg Rheinfels",67
maid,36
bandage,48
Eros / Cupid,37
revolution,91
collapse,36
childhood,37
meat,36
Ancona - non-specific,81
"Ruralists, Brotherhood of",36
rope,36
Aesthetic Movement,36
Eve,36
science,57
milkmaid,37
pyramid,36
protecting,50
Northern Ireland,38
bomb damage,36
Wharfedale,35
Later Stuart,35
vegetable - non-specific,85
ephemerality,35
bicycle,35
Calton Hill,36
French text,67
Picturesque,35
Lausanne - non-specific,47
floating,35
eagle,35
Rochester - non-specific,66
kiln,35
order,35
Dunbar - non-specific,37
"Fonthill, Fonthill Abbey",45
moustache,35
St Gotthard Pass,35
brother,43
"flag, Union Flag",45
compassion,44
popular culture,35
aura,35
leash,34
subconscious,34
display case / vitrine,34
Fife,34
pilgrimage,36
anatomy,34
"trunk, blasted",34
doll,34
anonymity,34
mannequin,34
"Gouache, pen and ink and graphite on paper",52
Aberconwy and Colwyn,34
niche,34
Simplon Pass,37
turban,34
"Brontë, Emily, 'Wuthering Heights'",49
hiding,34
Huy - non-specific,62
stocking,34
"Thornton, Robert John, 'The Pastorals of Virgil ...'",36
laughing,34
blossom,34
Solent,34
"Falmouth, Pendennis Castle",40
instructions,34
Oberwesel,34
Apollo,40
birth,35
"Philips, Ambrose, 'Imitation of Virgil's First Eclogue'",34
ribbon,33
"window, stained glass",33
bread,33
gatehouse,33
purity,41
God,33
hay,33
Decadence,33
library,33
globe,33
Buckinghamshire,34
dragon,47
Shoreham / The Ancients,46
Lake Albano,41
Tantallon Castle,33
Poland,34
home front,33
blanket,33
Leith,33
dawn,33
Lake Thun,33
peacock,32
Raby Castle,32
Rigi,32
candlestick,32
Château Gaillard,123
tub,32
oak,32
feather,33
Unit One,32
Neo-Concretism,32
victim,32
café,32
Wood,32
prostitution,32
Würzburg - non specific,42
cockerel,32
Crayon on paper,44
torch,32
period: Middle Ages,63
cigarette,74
fur / hide,31
placard,31
Fin de Siècle,31
